,address,location
91,서울특별시 강남구 선릉로 510 오성빌딩 1층 101호(삼성동),선릉오성점
92,서울특별시 강남구 헌릉로590길 11 103호,세곡리엔점
93,서울특별시 강남구 자곡로 191 지1층 06호(강남푸르지오시티 1차),세곡푸르지오점
94,서울특별시 강남구 논현로 12길 19-9(개포동),세븐포이3호점
95,서울특별시 강남구 광평로 295 (수서동),수서사이룩스점
96,서울특별시 강남구 광평로 지하 270 수서역사 지하1층 맞이방층 (수서동),수서역사1호점
97,서울특별시 강남구 광평로 지하 270 수서역사 지하2층 1번승강장 (수서동),수서역사2호점
98,서울특별시 강남구 광평로 지하 270 수서역사 지하2층 3번승강장 (수서동),수서역사3호점
99,서울특별시 강남구 광평로 지하 270 수서역사 지하2층 5번승강장(수서동),수서역사4호점
100,서울특별시 강남구 광평로 지하 270 지하2층 맞이방 내 일부(승강장입구)(수서동),수서역사5호점
101,서울특별시 강남구 광평로 281 (수서동),수서효성점
102,"서울특별시 강남구 봉은사로 140 1층 101,102,103,116,117,118호(역삼동)",신논현강남점
103,서울특별시 강남구 도산대로15길 7 (신사동),신사4호점
104,서울특별시 강남구 강남대로162길 45 (신사동),신사5호점
105,서울특별시 강남구 압구정로 114 신사빌딩 1층,신사가로수점
106,"서울특별시 강남구 도산대로 157 지상1층(신사동, 신웅타워2)",신사대로점
107,서울특별시 강남구 언주로172길 15 1층(신사동),신사로데오점
108,서울특별시 강남구 도산대로 124 대영빌딩 1층,신사본점
109,서울특별시 강남구 논현로 159길 10 (신사동),신사한나래점
110,서울특별시 강남구 강남대로 632 (신사동) 106호,신사한남점
111,서울특별시 강남구 압구정로18길 5 (신사동),압구정11호점
112,서울특별시 강남구 선릉로 157길 31 (신사동),압구정12호점
113,서울특별시 강남구 압구정로28길 28 1층 지상 전체(신사동),압구정2점
114,서울특별시 강남구 언주로 167길 21 (신사동),압구정8호점
115,서울특별시 강남구 압구정로 344 (신사동),압구정로데오점
116,서울특별시 강남구 논현로157길 26 1층 101호(신사동),압구정본점
117,"서울특별시 강남구 논현로 164길 38 (신사동, 칼릭스빌)",압구정칼릭스점
118,서울특별시 강남구 테헤란로19길 10 (역삼동),역삼10호점
119,서울특별시 강남구 논현로 105길 53 (역삼동),역삼14호점
120,서울특별시 강남구 강남대로62길 18(역삼동),역삼15호점
121,서울특별시 강남구 논현로76길 10  (역삼동),역삼17호점
122,서울특별시 강남구 도곡로37길 14(역삼동),역삼18호점
123,서울특별시 강남구 언주로71길 9(역삼동),역삼22호점
124,서울특별시 강남구 역삼로 151  (역삼동),역삼5호점
125,서울특별시 강남구 강남대로102길 11  (역삼동),역삼8호점
126,"서울특별시 강남구 역삼로 306(역삼동, 개나리래미안 상가 1동 108호)",역삼개나리점
127,서울특별시 강남구 테헤란로19길 29 ,역삼달샘점
128,"서울특별시 강남구 언주로 314 제1층 102호(역삼동, 강남프라자)",역삼래미안점
129,서울특별시 강남구 논현로 425 1층 104호(역삼동),역삼명랑점
130,서울 강남구 역삼동 832-10,역삼발렌타인점
131,서울특별시 강남구 봉은사로48길 13 101호(역삼동),역삼선릉로점
132,"서울특별시 강남구 논현로64길 33 1층 3,4호(역삼동)",역삼세브란스점
133,서울특별시 강남구 논현로102길 54 ,역삼스마일점
134,서울특별시 강남구 논현로79길 25 한스빌라텔,역삼스타공원점
135,서울특별시 강남구 언주로85길 24 1층 (역삼동),역삼언주로점
136,서울특별시 강남구 역삼로19길 26 (역삼동),역삼영화점
