,address,location
63,"서울 송파구 올림픽로지하 383, 신천동 8호선 지하철 역사 (신천동 19)",GS25S8몽촌토성역점
64,서울 송파구 장지동56번지 8호선 지하철 역사 내부,GS25S8문정역점
65,서울 송파구 장지동600 8호선지하철역사 내,GS25S8복정역점
66,"서울 송파구 송파대로지하 439, 8호선 지하철 역사 (석촌동 209)",GS25S8석촌역점
67,"서울 송파구 송파대로지하 354, (8호선 지하철 역사내) (가락동 459-4)",GS25S8송파역점
68,"서울 강동구 올림픽로지하 776, 지하철 8호선 암사역 역사 내 (암사동 501)",GS25S8암사역점
69,서울 송파구 송파대로지하 82 (장지동 201-5),GS25S8장지역점
70,서울 강서구 양천로지하 485 (가양동 14-61),GS25S9가양역점
71,"서울 강서구 개화동로8길38, 내 지하층 (개화동 388-1, 개화역사)",GS25S9개화역점
72,"서울 서초구 신반포로지하 17, 구반포역 역사 내 (반포동 817)",GS25S9구반포역점
73,"서울 영등포구 국회대로지하 758, 지하철역 (여의도동 1-6)",GS25S9국회의사당역점
74,"서울 강서구 하늘길지하 77, 김포공항역 지하 (방화동 886)",GS25S9김포공항역점
75,"서울 강동구 강동대로305, 지하철 9호선 둔촌오륜역 B1 (둔촌동 180-2)",GS25S9둔촌오륜역점
76,"서울 강남구 봉은사로지하 601, , 9호선봉은사역 내 (삼성동 111-8)",GS25S9봉은사역점
77,서울 강남구 봉은사로지하 501 (삼성동 111-147),GS25S9삼성중앙역점
78,"서울 송파구 백제고분로187 (잠실동 250-5, 파크인-수)",GS25S9삼전역점
79,서울 송파구 삼전동157번지,GS25S9석촌고분역점
80,"서울 송파구 송파대로지하 439, 지하철9호선 석촌역 (석촌동 209)",GS25S9석촌역점
81,"서울 송파구 송파동3, 지하철 9호선 송파나루역",GS25S9송파나루역점
82,"서울 강남구 봉은사로지하 102, 9호선 신논현역 지하 상가 (역삼동)",GS25S9신논현역점
83,서울 강서구 양천로지하 341 (가양동 159-3),GS25S9양천향교역점
84,"서울 강남구 봉은사로지하 201, 지하 1층 926-1호  (논현동 279-165, 9호선 언주역)",GS25S9언주역점
85,서울 영등포구 의사당대로지하 101 (여의도동 2-6),GS25S9여의도역점
86,서울 송파구 방이동88-26 지하철9호선 올림픽공원역 B1층,GS25S9올림픽공원역점
87,"서울 송파구 올림픽로지하 23, 9호선 종합운동장역 역사 (잠실동 122)",GS25S9종합운동장역점
88,"서울 강동구 명일로117, 지하철9호선 중앙보훈병원역 지하1층 (둔촌동 545)",GS25S9중앙보훈병원역점
89,"서울 송파구 위례성대로51, 지하철9호선 한성백제역 지하1층 (방이동 88-21)",GS25S9한성백제역점
90,"서울 동작구 현충로지하 90, 9호선 흑석역 역사내 (흑석동 4)",GS25S9흑석역점
91,서울 금천구 가산동462-2번지 가산디지털단지역,GS25S가산디지털단지역점
92,서울 강남구 삼성동1 7호선강남구청역내,GS25S강남구청역점
93,"서울 강남구 강남대로390, 지하1층 9호 (역삼동 825, 미진프라자)",GS25S강남역1호점
94,"서울 강남구 강남대로390, B3층 38호  (역삼동 825)",GS25S강남역2호점
95,"서울 강남구 강남대로390, 지하3층 (역삼동 825, 신분당선)",GS25S강남역3호점
96,"서울 광진구 화양동6-3 B3,X22-23",GS25S건대입구역점
97,서울 서초구 반포동19-3 7호선고속버스터미널,GS25S고속터미널역점
98,"서울 노원구 동일로지하 1074, 내 (공릉동 385-4, 7호선공릉역)",GS25S공릉역점
99,"서울 광진구 능동로277, 지하1층 (군자동 1-9, 군자역내)",GS25S군자역점
100,서울 구로구 구로동800 7호서남구로역지하2층,GS25S남구로역점
101,"서울 동작구 사당로14가길19, 사당동, 7호선 남성역 내 (사당동 250-1)",GS25S남성역점
102,"서울 서초구 서초대로지하 103 (방배동 874-16, 7호선내방역내)",GS25S내방역점
103,서울 노원구 상계동2-1번지,GS25S노원역점
104,서울 강남구 논현동280번지,GS25S논현역점
105,"서울 영등포구 도림로지하 137, 7호 호선 대림역 (대림동 1050-17)",GS25S대림역점
106,"서울 광진구 능동로10 (자양동 73-2, 7호선 뚝섬유원지역내)",GS25S뚝섬유원지역점
107,"서울 노원구 한글비석로530, (7호선마들역내)  (상계9동 647, 상계주공12단지아파트)",GS25S마들역점
108,서울 강남구 도곡동461-1번지 매봉역내 333-03호,GS25S매봉역점
109,"서울 서초구 매헌로지하 116, 지하층 매장 2호 (양재동 233-2)",GS25S매헌역점
110,서울 중랑구 묵동175-4번지 지하철7호선 먹골역 내,GS25S먹골역점
111,"서울 성동구 동호로지하 104, 324-09호 (금호동4가)",GS25S메트로금호점
112,서울 중랑구 면목본동120번지,GS25S면목역점
113,서울 서초구 잠원동130번지,GS25S반포역점
114,서울 영등포구 신풍로113(신길6동 508),GS25S보라매역점
115,"서울 중랑구 사가정로지하 393, 지하철 7호선 사가정역 (면목동 495)",GS25S사가정역점
116,서울 동작구 상도1동752-2번지 7호선상도역내,GS25S상도역점
117,서울 중랑구 상봉동115 7호선상봉역점,GS25S상봉역점
118,"서울 노원구 동일로지하 1662, 수락산역 (상계동 1132-9)",GS25S수락산역점
119,서울 동작구 상도1동515번지 7호선숭실대입구역 내,GS25S숭실대입구역점
120,서울 동작구 대방동393 7호선역사내,GS25S신대방삼거리역점
121,"서울 강남구 강남대로616 (신사동 501, 지하철3호선신사역내327-03호)",GS25S신사역점
122,서울 영등포구 신풍로지하 27 (신길6동 3599),GS25S신풍역점
123,서울 서초구 양재동12-1 신분당선양재역내 B1-27,GS25S양재역1호점
124,"서울 서초구 남부순환로지하 2585, B3-41호  (서초2동 1366-9, 신분당선양재역내)",GS25S양재역2호점
125,서울 광진구 화양동3번지,GS25S어린이대공원역점
126,서울 구로구 온수동73 7호선온수역내,GS25S온수역점
127,서울 중랑구 면목동산76-1 용마산역사내B1층,GS25S용마산역점
128,"서울 동작구 사당로지하 310, 7호선內(사당2동 144-4)",GS25S이수역점
129,"서울 동작구 상도로지하 188, 장승배기 역사 내 (상도동 26-20)",GS25S장승배기역점
130,서울 송파구 잠실동 1-236종합운동장역B1층218-04호,GS25S종합운동장역점
131,서울 노원구 중계동512 7호선역사,GS25S중계역점
132,"서울 광진구 능동로415-1, 7호 호선중곡역내  (중곡3동 167-1)",GS25S중곡역점
133,서울 중랑구 동일로지하 797 (중화1동 50-3),GS25S중화역점
134,"서울 구로구 오리로지하 1154 (오류동 174-5, 7호선 청왕역내)",GS25S천왕역점
135,서울 서초구 원지동270-16번지 매장2호,GS25S청계산역점
136,"서울 강남구 학동로87길7, E-2(7호선청담역지하3층)  (청담동 75-1, 현대아파트)",GS25S청담역2점
137,"서울 강남구 학동로87길7, (7호선청담역)  (청담동 75-1, 현대아파트)",GS25S청담역점
138,서울 노원구 공릉1동680번지,GS25S태릉입구역점
139,"서울 노원구 공릉로59길28 (하계1동 280, 미성아파트)",GS25S하계역점
140,"서울 강남구 학동로지하 180, 지하층 (논현동 279-67, 학동역 지하상가)",GS25S학동역점
141,"서울 송파구 충민로66(문정2동 634, 가든파이브라이프패션관B1-1028호)",GS25가든파이브점
142,"서울 송파구 송파대로32길15 (가락본동 95-1, 가락금호아파트)",GS25가락금호점
143,"서울 송파구 송이로23길18, 1층 (가락2동 144-20)",GS25가락명성점
144,"서울 송파구 양재대로932, 1층 1호 (가락동 600, 업무동)",GS25가락몰점
145,"서울 송파구 오금로36길69-14, 1층 (가락동 49-10)",GS25가락본점
146,서울 송파구 오금로44가길9 (가락동 170),GS25가락센타점
147,"서울 송파구 송파대로30길16,  110호(가락본동 98, 두산위브센티움)",GS25가락스타점
148,"서울 송파구 중대로23길20,  104호(가락본동 8-1, 우정에쉐르)",GS25가락우정점
149,"서울 송파구 오금로36길46, 1층 (가락본동 41, 덕봉빌딩)",GS25가락으뜸점
150,서울 송파구 동남로13길50 (가락2동 123-17),GS25가락제일점
151,서울 송파구 송이로24길15 (가락동 116-8),GS25가락중대로점
152,"서울 송파구 송파대로30길3, 1층(가락본동 96-18)",GS25가락중앙점
153,"서울 송파구 양재대로66길44, 1층 (가락본동 35-10, 진흥빌딩)",GS25가락진흥점
154,"서울 송파구 양재대로62길47,  101호(가락본동 76-9)",GS25가락타운점
155,"서울 구로구 구로동로7길57, 1층 (가리봉동 13-37)",GS25가리봉사랑점
156,"서울 금천구 벚꽃로286,  1층 107호(가산동 60-15, 리더스타워)",GS25가리봉역점
157,"서울 금천구 가산디지털1로171, 114호 (가산동 371-41, 가산에스케이브이원센터)",GS25가산V1점
158,서울 금천구 가산로3길113(독산1동 335-14),GS25가산두산점
159,"서울 금천구 서부샛길606, 107호 (가산동 543-1, 대성디폴리스지식산업센터)",GS25가산디폴리스점
160,"서울 금천구 서부샛길528, 1층 103호 (가산동 550-17, 미소지움)",GS25가산미소점
161,"서울 금천구 디지털로9길65,  102호(가산동 60-17, 드림타워9차)",GS25가산백상점
162,서울 금천구 남부순환로112길15 (가산동 147-25),GS25가산본점
163,"서울 금천구 벚꽃로278,  B138호(가산동 60-19, 세진테크노빌)",GS25가산세진점
164,"서울 금천구 디지털로9길99,  126호(가산동 60-11, 스타밸리)",GS25가산스타점
165,서울 금천구 가산디지털1로51(가산동 327-23),GS25가산엘지점
166,"서울 금천구 벚꽃로24길14,  101호(가산동 238-84)",GS25가산용주점
167,"서울 금천구 시흥대로153길89, 1층 (가산동 149-27)",GS25가산태양점
168,"서울 금천구 가산디지털1로88, 1층 , 103호 (가산동 345-50, IT프리미어타워)",GS25가산프리미어점
169,"서울 금천구 가산디지털1로233, 107호 (가산동 481-2, 에이스하이엔드타워9차)",GS25가산하이엔드점
170,서울 금천구 디지털로12길21(가산동 143-44),GS25가산하이힐점
171,"서울 강서구 허준로47, 상가(가양1동 1461, 가양도시개발공사아파트)",GS25가양2점
172,서울 강서구 허준로209 (가양동 1486),GS25가양7단지점
173,서울 강서구 허준로176 (가양동 1482),GS25가양8단지점
174,"서울 강서구 화곡로72길62, 107호 (가양동 448-11, 가양글로벌퍼스트)",GS25가양글로벌점
175,"서울 강서구 양천로516, 103호 (등촌동 720)",GS25가양메르디앙점
176,"서울 강서구 양천로57길10-20,  상가 104호(가양2동 1480-5, 이스타빌)",GS25가양우성점
177,"서울 강서구 화곡로68길15, , 22번지  103호 (등촌동 628-7, 아벨테크노지식산업센터)",GS25가양테크노점
178,"서울 강서구 양천로49길54, 101호 (가양동 194-2, 양천향교지웰에스테이트)",GS25가양향교점
179,"서울 서대문구 수색로100, 101-1  (북가좌1동 144, 가재울뉴타운3구역1블럭)",GS25가재울뉴타운점
180,"서울 서대문구 수색로6길17-14, 1층 제101호  (북가좌동 484, 성공타워2 제성공타워2-에이동 제)",GS25가재울삼성점
181,서울 서대문구 남가좌동124-1번지 DMC파크뷰자이 103동 102호,GS25가재울아이파크점
182,"서울 서대문구 수색로100, 디엠씨래미안이편한세상 1단지 상가3동 1층 3-01호  (북가좌동 481)",GS25가재울이편한점
183,"서울 서대문구 모래내로15길50, 1층 (남가좌동 197-5)",GS25가재울현대점
184,"서울 마포구 성암로28, 110호 (성산동 134-2, 가좌역행복주택)",GS25가좌행복점
185,"서울 송파구 오금로40길44, 1층 (가락동 154-19)",GS25가주초교점
186,"서울 은평구 갈현로124, 1층(구산동 24-69)",GS25갈현대로점
187,"서울 은평구 연서로17길46-1, 1층 우측상가 (갈현동 497-13)",GS25갈현사랑점
188,"서울 은평구 갈현로265, 1층(갈현1동 433-3)",GS25갈현제일점
189,"서울 은평구 통일로89길5, 1층 (갈현1동 413-1)",GS25갈현중앙점
190,"서울 은평구 갈현로25길14,  1층 101호 (갈현동 515-18)",GS25갈현파크점
191,"서울 은평구 갈현로303 (갈현1동 422-35, 제일은행갈현시장)",GS25갈현포인트점
192,서울 은평구 갈현로37길3(갈현1동 434-22),GS25갈현행복점
193,"서울 은평구 연서로19길8, 1층 (갈현동 463-4)",GS25갈현행운점
194,"서울 강남구 자곡로3길22, LH강남3단지 상가동 1층 101호 (자곡동 621)",GS25강남LH점
195,"서울 강남구 테헤란로129, 강남N타워 GF층 7호 (역삼동 648-17)",GS25강남N타워점
196,서울 강남구 강남대로94길9 (역삼동 818-14),GS25강남YBM점
197,"서울 강남구 개포로15길10, 1층 (개포동 1244-14)",GS25강남개포점
198,"서울 강남구 논현로106길42, 1층 (역삼동 656-3)",GS25강남갤러리점
199,"서울 강남구 언주로147길10, 1층 (논현동 63-19)",GS25강남나누리점
200,"서울 강남구 선릉로420, 1층 7호 (대치동 897-3)",GS25강남대치점
201,"서울 강남구 테헤란로77길7(삼성2동 143-28, 동원빌딩)",GS25강남동원점
202,"서울 강남구 헌릉로569길21-30, 104호 (세곡동 615, 드림하이오피스텔)",GS25강남드림하이점
203,"서울 강남구 압구정로54길16, 1층 (신사동 662-18)",GS25강남로데오점
204,서울 강남구 강남대로110길26 (역삼동 811-4),GS25강남리츠칼튼점
205,"서울 강남구 테헤란로101,  A동 10호(역삼1동 821-1, 대우쇼핑타운)",GS25강남메트로점
206,"서울 강남구 테헤란로2길8, 1층 (역삼동 825-1)",GS25강남본점
207,서울 강남구 역삼로15길20 (역삼동 749-5),GS25강남사랑점
208,서울 강남구 언주로98길25 (역삼동 699-27),GS25강남상록회관점
209,"서울 영등포구 신길로1, 1층 일부 (대림1동 948-1, 강남성심병원)",GS25강남성심병원점
210,"서울 강남구 밤고개로21길25, 104호 (자곡동 361, 래미안포레)",GS25강남세곡점
211,서울 서초구 강남대로465(서초4동 1303-22),GS25강남센타점
212,"서울 강남구 강남대로328, 111호 (역삼1동 832-3, 강남역쉐르빌오피스텔)",GS25강남쉐르빌점
213,"서울 강남구 강남대로98길17, 지하1층 (역삼동 620-9, 시티힐빌딩)",GS25강남시티힐점
214,서울 강남구 언주로173길13 (신사동 619-3),GS25강남신사점
215,"서울 강남구 테헤란로4길46,  109호(역삼1동 826-37, 쌍용플래티넘)",GS25강남쌍용점
216,"서울 강남구 강남대로102길40, 1층 (역삼동 618-3)",GS25강남아트점
217,"서울 강남구 자곡로174-10, 1동 107호, 108호  (자곡동 649, 강남에이스타워G9)",GS25강남에이스타워점
218,서울 강남구 봉은사로114길46 (삼성1동 166-7),GS25강남엘지점
219,"서울 강남구 봉은사로48길32, 지하1층 2호 (역삼동 690-29)",GS25강남역삼점
220,서울 강남구 논현로149길50(논현1동 5-19),GS25강남영동점
221,"서울 강남구 자곡로180, 111-2호 (자곡동 651, 강남유탑유블레스오피스텔)",GS25강남유블레스점
222,"서울 강남구 삼성로550, 1층(삼성1동 150-19, 은성빌딩)",GS25강남은성점
223,"서울 강남구 삼성로434, 1층 (대치동 942-4, 쥬비스타워)",GS25강남쥬비스점
224,"서울 강남구 테헤란로115, 1층(역삼1동 649-10, 서림빌딩)",GS25강남타운점
225,"서울 강남구 테헤란로10길14, 1층(역삼1동 823-8, 태강빌딩)",GS25강남태강점
226,"서울 강남구 봉은사로4길29, 1층 (역삼1동 812)",GS25강남태양점
227,"서울 서초구 서초대로77길13, 1층 (서초동 1317-7)",GS25강남프리미엄점
228,서울 강남구 선릉로62길9 (대치동 936-25),GS25강남한티점
229,"서울 강동구 양재대로1544, 1층(길동 335-5)",GS25강동KTNG점
230,"서울 강동구 구천면로155, 1층 (천호동 339-45)",GS25강동강변점
231,서울 강동구 구천면로323 (암사동 488-30),GS25강동개나리점
232,서울 강동구 풍성로65길71 (둔촌동 461),GS25강동둔촌점
233,"서울 강동구 천호대로163길21, 1층 (천호동 450-40)",GS25강동래미안점
234,서울 강동구 양재대로1637 (명일동 312-58),GS25강동명일역점
235,"서울 강동구 성내로6길20, 108호 (성내1동 556-2, 청일 베르네)",GS25강동베르네점
236,서울 강동구 양재대로103길13 (성내동 380-14),GS25강동베스트점
237,"서울 강동구 상일로5길8, 1층 (상일동 269-7)",GS25강동삼성점
238,서울 강동구 동남로65길11 (명일동 176),GS25강동상생점
239,"서울 강동구 양재대로97길7, 1층 (성내동 397)",GS25강동성내점
240,"서울 강동구 성안로156, 1층 3호 (길동 416-6, 우주빌딩)",GS25강동성심점
241,"서울 강동구 성내로13길14, 1층 102호 (성내동 543)",GS25강동성일점
242,"서울 강동구 천호대로1139, 1층 (길동 459-3, 강동그린타워)",GS25강동세무서점
243,서울 강동구 명일로243 (길동 96),GS25강동스마일점
244,"서울 강동구 고덕로20마길29, 1층 (암사1동 469-30)",GS25강동암사점
245,서울 강동구 올림픽로92길6 (천호동 315-6),GS25강동원일점
246,"서울 강동구 올림픽로622 (성내2동 78-10, 케이디빌딩)",GS25강동제일점
247,서울 강동구 올림픽로88길36 (천호동 313-4),GS25강동천일점
248,"서울 강동구 천호대로1057, 105,6호(천호3동 451-20, 오피스텔트레벨)",GS25강동트레벨점
249,"서울 강동구 천호대로1078,  104호(성내2동 164-1, CJ나인파크)",GS25강동파크점
250,"서울 강동구 고덕로140, 상가동1층119-2,120-1  (암사동 413-3, 현대대림아파트)",GS25강동펠리스점
251,"서울 강동구 풍성로56길10, 1층 (성내동 417-44)",GS25강동풍성로점
252,"서울 강북구 한천로139나길1, 1층(수유3동 192-3)",GS25강북구청점
253,"서울 강북구 한천로148길13, 1층 (수유동 181-49)",GS25강북동수점
254,"서울 강북구 삼각산로145, 1층 (수유2동 220-19)",GS25강북벽산점
255,"서울 강북구 삼양로497, 1층 (우이동 282-1, 씨엘빌딩)",GS25강북수유점
256,"서울 강북구 삼양로173길39, 1층(우이동 165-4)",GS25강북우이점
257,"서울 강북구 한천로132길84, 외 1필지(466-23) (번동 466-22)",GS25강북한천점
258,"서울 강서구 화곡로68길82,  106호(등촌1동 638-3, 강서IT밸리)",GS25강서IT밸리점
259,"서울 강서구 마곡중앙10로70, E14동 3층 (마곡동 789)",GS25강서LG사이언스2점
260,"서울 강서구 마곡중앙10로70, B1F (마곡동 789)",GS25강서LG사이언스점
261,"서울 강서구 송정로37, 1층(공항동 60-31)",GS25강서공항점
262,"서울 강서구 강서로16길22, 1층 일부 (화곡동 341-31)",GS25강서까치산점
263,"서울 강서구 양천로500, 1층 114호 (등촌동 628, 등촌동노블리움오피스텔)",GS25강서노블점
264,서울 강서구 강서로155(화곡1동 1075-39),GS25강서드림점
265,서울 강서구 강서로392-11 (등촌동 678-13),GS25강서등촌점
266,"서울 강서구 강서로46길47, 1층 일부 (내발산동 706-5, 동산빌딩)",GS25강서로우장산점
267,"서울 강서구 양천로556, 101호 (등촌1동 630-12, 강서메디칼센터)",GS25강서메디칼점
268,서울 강서구 공항대로38길106 (내발산동 659-4),GS25강서메르디앙점
269,"서울 강서구 공항대로45가길11, 1층 101호 (등촌1동 656-52, 강서메트로칸)",GS25강서메트로칸점
270,서울 강서구 양천로14길16(방화2동 559-5),GS25강서방화점
271,"서울 강서구 강서로56나길110, 1층 상가동  (등촌동 691-3, 부영아파트)",GS25강서부영점
272,"서울 강서구 화곡로58길8, 1층(화곡6동 1117)",GS25강서사랑점
273,서울 강서구 공항대로2길25(공항동 70-223),GS25강서센트레점
274,"서울 강서구 공항대로34, 1층 (공항동 42-22, 청보빌딩)",GS25강서송정역점
275,"서울 강서구 남부순환로11길28, 1층 (공항동 1340, 엘지(GS)25)",GS25강서송정점
276,"서울 강서구 마곡중앙로165, 102호 (마곡동 757-5, 안강프라이빗타워)",GS25강서안강점
277,"서울 강서구 양천로583,  상가 113호(염창동 240-21, 우림블루나인)",GS25강서우림점
278,"서울 강서구 강서로45다길21, 1층 (화곡동 1012)",GS25강서우장점
279,"서울 강서구 강서로7길45, 1층(화곡1동 901-24)",GS25강서으뜸점
280,"서울 강서구 양천로401, A동 103호 (가양동 1498, 강서한강자이타워)",GS25강서자이타워점
281,"서울 강서구 화곡로346,  109호(화곡6동 1111-2, 귀뚜라미홈시스텔)",GS25강서타운점
